Issue Type,Summary,Description,Epic Link,Story Points,Priority,MVP,Sprint,Dependencies,Assignee Role
Epic,Infrastructure & Foundation Setup,"Setup foundational Snowflake infrastructure including database, schemas, and deployment framework",,21,Critical,Yes,1,,Data Architect
Story,Setup Snowflake Database and Schemas,"Create database and all required schemas (ODS_RAW, STAGING, WAREHOUSE, REFERENCE, MARTS_CLINICAL) with proper permissions",Infrastructure & Foundation Setup,5,Critical,Yes,1,,Data Engineer
Story,Setup Development & Deployment Framework,"Establish CI/CD pipelines, deployment scripts, and environment configuration",Infrastructure & Foundation Setup,8,Critical,Yes,1,Setup Snowflake Database and Schemas,DevOps Engineer
Story,Establish Naming Conventions & Standards,"Document and enforce naming conventions for all database objects",Infrastructure & Foundation Setup,3,High,Yes,1,,Data Architect
Story,Setup Date Dimension,"Create and populate date dimension table covering 2020-2030",Infrastructure & Foundation Setup,5,High,Yes,1,Setup Snowflake Database and Schemas,Data Engineer
Epic,ODS Layer & Multi-Source Ingestion,"Create ODS landing tables and establish integration with Mulesoft for OMS and VEMS data",,34,Critical,Yes,1,,Data Engineer
Story,Create ODS Tables for Source Systems,"Create 8 ODS tables (veterans, evaluators, facilities, exam_requests, evaluations, appointments, qa_events, claims) with source_system discriminator",ODS Layer & Multi-Source Ingestion,13,Critical,Yes,1,Setup Snowflake Database and Schemas,Data Engineer
Story,Create ODS Control & Error Tables,"Create batch control and error logging tables for ETL tracking",ODS Layer & Multi-Source Ingestion,5,Critical,Yes,1,Create ODS Tables for Source Systems,Data Engineer
Story,Coordinate with Mulesoft Team on Data Contracts,"Establish data contracts with Mulesoft team for OMS and VEMS data feeds",ODS Layer & Multi-Source Ingestion,8,Critical,Yes,1,Create ODS Tables for Source Systems,Integration Engineer
Story,Test ODS Data Loading,"Validate ODS tables can receive data from Mulesoft successfully",ODS Layer & Multi-Source Ingestion,8,Critical,Yes,1,"Create ODS Tables for Source Systems,Create ODS Control & Error Tables,Coordinate with Mulesoft Team on Data Contracts",Data Engineer
Epic,Reference Data Framework,"Create reference tables for system of record configuration, entity crosswalks, field mappings, and code mappings",,21,Critical,Yes,1-2,,Data Architect
Story,Create System of Record Configuration,"Define and document which source system is authoritative for each entity type",Reference Data Framework,3,Critical,Yes,1,Setup Snowflake Database and Schemas,Data Architect
Story,Create Entity Crosswalk Tables,"Create crosswalk tables for matching veterans, evaluators, and facilities between OMS and VEMS",Reference Data Framework,5,Critical,Yes,1,Create System of Record Configuration,Data Engineer
Story,Create Field Mapping Tables,"Document how OMS and VEMS field names map to standardized names",Reference Data Framework,5,High,Yes,1-2,Create System of Record Configuration,Data Analyst
Story,Create Code Mapping Tables,"Map system-specific code values (specialty, request type, status) to standardized codes",Reference Data Framework,8,High,Yes,1-2,"Create System of Record Configuration,Coordinate with Mulesoft Team on Data Contracts",Data Analyst
Epic,Staging Layer & Data Reconciliation,"Build staging layer with multi-source data reconciliation and entity matching",,34,Critical,Yes,2,,Data Engineer
Story,Create Staging Tables,"Create staging tables with DQ scoring and change detection capabilities",Staging Layer & Data Reconciliation,8,Critical,Yes,2,"ODS Layer & Multi-Source Ingestion,Create System of Record Configuration",Data Engineer
Story,Build Entity Matching Procedures,"Create procedures to match OMS and VEMS records using SSN, NPI, and facility ID",Staging Layer & Data Reconciliation,13,Critical,Yes,2,"Create Entity Crosswalk Tables,Create Staging Tables",Data Engineer
Story,Build Multi-Source Transformation Procedures,"Create procedures to merge OMS and VEMS data using system of record rules",Staging Layer & Data Reconciliation,13,Critical,Yes,2,"Build Entity Matching Procedures,Create Field Mapping Tables,Create Code Mapping Tables",Data Engineer
Epic,Core Dimensional Model,"Create core dimension tables (veterans, evaluators, facilities) with SCD Type 2 tracking",,34,Critical,Yes,2-3,,Data Engineer
Story,Create Core Dimension Tables,"Create dim_veterans, dim_evaluators, dim_facilities with SCD Type 2 structure",Core Dimensional Model,13,Critical,Yes,2,Create Staging Tables,Data Engineer
