table_name,column_name,data_type,is_primary_key,is_foreign_key,is_business_key,is_scd_attribute,is_measure,column_order,description
dim_dates,date_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Primary key in YYYYMMDD format
dim_dates,full_date,DATE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Actual calendar date
dim_dates,year_number,INTEGER,FALSE,FALSE,FALSE,FALSE,FALSE,3,Four-digit year
dim_dates,fiscal_year,INTEGER,FALSE,FALSE,FALSE,FALSE,FALSE,4,VA fiscal year (starts Oct 1)
dim_dates,fiscal_quarter,INTEGER,FALSE,FALSE,FALSE,FALSE,FALSE,5,VA fiscal quarter (1-4)
dim_dates,is_weekend,BOOLEAN,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE if Saturday or Sunday
dim_dates,is_holiday,BOOLEAN,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE if federal holiday
dim_veterans,veteran_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Surrogate primary key
dim_veterans,veteran_id,VARCHAR(50),FALSE,FALSE,TRUE,FALSE,FALSE,2,Business key - Unique veteran identifier
dim_veterans,full_name,VARCHAR(255),FALSE,FALSE,FALSE,FALSE,FALSE,3,Veteran full name
dim_veterans,service_branch,VARCHAR(50),FALSE,FALSE,FALSE,FALSE,FALSE,4,Military branch
dim_veterans,current_disability_rating,INTEGER,FALSE,FALSE,FALSE,FALSE,FALSE,5,Current VA disability rating percentage
dim_veterans,effective_start_date,TIMESTAMP_NTZ,FALSE,FALSE,FALSE,TRUE,FALSE,6,Start date when this version became effective
dim_veterans,effective_end_date,TIMESTAMP_NTZ,FALSE,FALSE,FALSE,TRUE,FALSE,7,End date when this version became obsolete
dim_veterans,is_current,BOOLEAN,FALSE,FALSE,FALSE,TRUE,FALSE,8,TRUE if this is the current active version
dim_evaluators,evaluator_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Surrogate primary key
dim_evaluators,evaluator_id,VARCHAR(50),FALSE,FALSE,TRUE,FALSE,FALSE,2,Business key - Unique evaluator identifier
dim_evaluators,full_name,VARCHAR(255),FALSE,FALSE,FALSE,FALSE,FALSE,3,Evaluator full name
dim_evaluators,specialty,VARCHAR(100),FALSE,FALSE,FALSE,FALSE,FALSE,4,Medical specialty
dim_evaluators,credentials,VARCHAR(100),FALSE,FALSE,FALSE,FALSE,FALSE,5,Professional credentials (MD DO PhD etc)
dim_evaluators,npi_number,VARCHAR(10),FALSE,FALSE,FALSE,FALSE,FALSE,6,National Provider Identifier
dim_evaluators,effective_start_date,TIMESTAMP_NTZ,FALSE,FALSE,FALSE,TRUE,FALSE,7,Start date when this version became effective
dim_evaluators,is_current,BOOLEAN,FALSE,FALSE,FALSE,TRUE,FALSE,8,TRUE if this is the current active version
dim_facilities,facility_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Surrogate primary key
dim_facilities,facility_id,VARCHAR(50),FALSE,FALSE,TRUE,FALSE,FALSE,2,Business key - Unique facility identifier
dim_facilities,facility_name,VARCHAR(255),FALSE,FALSE,FALSE,FALSE,FALSE,3,Facility name
dim_facilities,station_number,VARCHAR(10),FALSE,FALSE,FALSE,FALSE,FALSE,4,VA station number
dim_facilities,visn_number,INTEGER,FALSE,FALSE,FALSE,FALSE,FALSE,5,Veterans Integrated Service Network number
dim_facilities,facility_type,VARCHAR(50),FALSE,FALSE,FALSE,FALSE,FALSE,6,Type of facility
dim_facilities,effective_start_date,TIMESTAMP_NTZ,FALSE,FALSE,FALSE,TRUE,FALSE,7,Start date when this version became effective
dim_facilities,is_current,BOOLEAN,FALSE,FALSE,FALSE,TRUE,FALSE,8,TRUE if this is the current active version
dim_evaluation_types,evaluation_type_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Surrogate primary key
dim_evaluation_types,evaluation_type_id,VARCHAR(50),FALSE,FALSE,TRUE,FALSE,FALSE,2,Business key
dim_evaluation_types,evaluation_type_name,VARCHAR(255),FALSE,FALSE,FALSE,FALSE,FALSE,3,Evaluation type name
dim_evaluation_types,evaluation_category,VARCHAR(100),FALSE,FALSE,FALSE,FALSE,FALSE,4,Category of evaluation
dim_evaluation_types,typical_duration_minutes,INTEGER,FALSE,FALSE,FALSE,FALSE,FALSE,5,Typical duration in minutes
dim_evaluation_types,requires_specialist,BOOLEAN,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE if requires specialist
dim_medical_conditions,medical_condition_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Surrogate primary key
dim_medical_conditions,medical_condition_id,VARCHAR(50),FALSE,FALSE,TRUE,FALSE,FALSE,2,Business key
dim_medical_conditions,condition_name,VARCHAR(255),FALSE,FALSE,FALSE,FALSE,FALSE,3,Medical condition name
dim_medical_conditions,icd10_code,VARCHAR(10),FALSE,FALSE,FALSE,FALSE,FALSE,4,ICD-10 diagnosis code
